,Name,Base Price (rs),Sold Price (rs),Team
0,Smriti Mandhana , 50 lakh , 34000000 , Royal Challengers Bangalore
1,Sophia Dunkley , 30 lakh , 60 lakh , Gujarat Giants
2,Jemimah Rodrigues , 50 lakh , 22000000 , Delhi Capitals
3,Meg Lanning , 50 lakh , 11000000 , Delhi Capitals
4,Shafali Verma , 50 lakh , 20000000 , Delhi Capitals
5,Shweta Sehrawat , 10 lakh , 40 lakh , UP Warriorz
6,Kiran Navgire , 30 lakh , 30 lakh , UP Warriorz
7,"
Sabbineni Meghana ", 30 lakh , 30 lakh ," Gujarat Giants
"
8,"
Laura Harris ", 10 lakh , 45 lakh ," Delhi Capitals
"
9,"
Dhara Gujjar ", 10 lakh , 10lakh ," Mumbai Indians
"
10,"
Jasia Akhter ", 20 lakh , 20 lakh ," Delhi Capitals
"
11,"
Disha Kasat ", 10 lakh , 10 lakh ," Royal Challengers Bangalore
"
12,"
Sneha Deepthi ", 30 lakh , 30 lakh ," Delhi Capitals
"
13,"
Simran Shaikh ", 10 lakh , 10 lakh ," UP Warriorz
"
14,Renuka Singh , 50 lakh , 15000000 , Royal Challengers Bangalore
15,Shabnim Ismail , 40 lakh , 10000000 , UP Warriorz
16,"
Anjali Sarvani ", 30 lakh , 55 lakh ," UP Warriorz
"
17,"
Rajeshwari Gayakwad ", 40 lakh , 40 lakh ," UP Warriorz
"
18,Titas Sadhu , 10 lakh , 25 lakh , Delhi Capitals
19,"
Lauren Bell ", 30 lakh , 30 lakh ," UP Warriorz
"
20,"
Monica Patel ", 30 lakh , 30 lakh ," Gujarat Giants
"
21,"
Saika Ishaque ", 10 lakh , 10 lakh ," Mumbai Indians
"
22,"
Poonam Yadav ", 30 lakh , 30 lakh ," Delhi Capitals
"
23,"
Preeti Bose ", 30 lakh , 30 lakh ," Royal Challengers Bangalore
"
24,"
Komal Zanzad ", 10 lakh , 25 lakh ," Royal Challengers Bangalore
"
25,"
Parunika Sisodia ", 10 lakh , 10 lakh ," Gujarat Giants
"
26,Megan Schutt , 40 lakh , 40 lakh , Royal Challengers Bangalore
27,"
Shabnam Shakil ", 10 lakh , 10 lakh ," Gujarat Giants
"
28,"
Sonam Yadav ", 10 lakh , 10 lakh ," Mumbai Indians
"
29,"
Sahana Pawar ", 10 lakh , 10 lakh ," Royal Challengers Bangalore
"
30,Harmanpreet Kaur , 50 lakh , 18000000 , Mumbai Indians
31,Sophie Devine , 50 lakh , 50 lakh , Royal Challengers Bangalore
32,Ashleigh Gardner , 50 lakh , 32000000 , Gujarat Giants
33,Ellyse Perry , 50 lakh , 17000000 , Royal Challengers Bangalore
34,Sophie Ecclestone , 50 lakh , 18000000 , UP Warriorz
35,Deepti Sharma , 50 lakh , 26000000 , UP Warriorz
36,Natalie Sciver , 50 lakh , 32000000 , Mumbai Indians
37,Tahlia McGrath , 40 lakh , 14000000 , UP Warriorz
38,Amelia Kerr , 40 lakh , 10000000 , Mumbai Indians
39,"
Annabel Sutherland ", 30 lakh , 70 lakh ," Gujarat Giants
"
40,"
Harleen Deol ", 40 lakh , 40 lakh ," Gujarat Giants
"
