,Name,Base Price (rs),Sold Price (rs),Team
0,Smriti Mandhana , 5000000 , 34000000 , Royal Challengers Bangalore
1,Sophia Dunkley , 3000000 , 6000000 , Gujarat Giants
2,Jemimah Rodrigues , 5000000 , 22000000 , Delhi Capitals
3,Meg Lanning , 5000000 , 11000000 , Delhi Capitals
4,Shafali Verma , 5000000 , 20000000 , Delhi Capitals
5,Shweta Sehrawat , 1000000 , 4000000 , UP Warriorz
6,Kiran Navgire , 3000000 , 3000000 , UP Warriorz
7,"
Sabbineni Meghana ", 3000000 , 3000000 ," Gujarat Giants
"
8,"
Laura Harris ", 1000000 , 4500000 ," Delhi Capitals
"
9,"
Dhara Gujjar ", 1000000 , 10lakh ," Mumbai Indians
"
10,"
Jasia Akhter ", 2000000 , 2000000 ," Delhi Capitals
"
11,"
Disha Kasat ", 1000000 , 1000000 ," Royal Challengers Bangalore
"
12,"
Sneha Deepthi ", 3000000 , 3000000 ," Delhi Capitals
"
13,"
Simran Shaikh ", 1000000 , 1000000 ," UP Warriorz
"
14,Renuka Singh , 5000000 , 15000000 , Royal Challengers Bangalore
15,Shabnim Ismail , 4000000 , 10000000 , UP Warriorz
16,"
Anjali Sarvani ", 3000000 , 5500000 ," UP Warriorz
"
17,"
Rajeshwari Gayakwad ", 4000000 , 4000000 ," UP Warriorz
"
18,Titas Sadhu , 1000000 , 2500000 , Delhi Capitals
19,"
Lauren Bell ", 3000000 , 3000000 ," UP Warriorz
"
20,"
Monica Patel ", 3000000 , 3000000 ," Gujarat Giants
"
21,"
Saika Ishaque ", 1000000 , 1000000 ," Mumbai Indians
"
22,"
Poonam Yadav ", 3000000 , 3000000 ," Delhi Capitals
"
23,"
Preeti Bose ", 3000000 , 3000000 ," Royal Challengers Bangalore
"
24,"
Komal Zanzad ", 1000000 , 2500000 ," Royal Challengers Bangalore
"
25,"
Parunika Sisodia ", 1000000 , 1000000 ," Gujarat Giants
"
26,Megan Schutt , 4000000 , 4000000 , Royal Challengers Bangalore
27,"
Shabnam Shakil ", 1000000 , 1000000 ," Gujarat Giants
"
28,"
Sonam Yadav ", 1000000 , 1000000 ," Mumbai Indians
"
29,"
Sahana Pawar ", 1000000 , 1000000 ," Royal Challengers Bangalore
"
30,Harmanpreet Kaur , 5000000 , 18000000 , Mumbai Indians
31,Sophie Devine , 5000000 , 5000000 , Royal Challengers Bangalore
